Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.0,0.15384615384615385,0.08333333333333333,1.0,12,0,132,0
0.5573204290227127,0.32,0.3076923076923077,0.3333333333333333,4,123,9,8
0.28537588184602064,0.125,0.25,0.08333333333333333,1,129,3,11
0.2809166093596842,0.1,0.125,0.08333333333333333,1,125,7,11
0.28426762180748055,0.11764705882352941,0.2,0.08333333333333333,1,128,4,11
0.28647985456347025,0.13333333333333333,0.3333333333333333,0.08333333333333333,1,130,2,11
0.28315502410652665,0.1111111111111111,0.16666666666666666,0.08333333333333333,1,127,5,11
0.28537588184602064,0.125,0.25,0.08333333333333333,1,129,3,11
0.4066989554990772,0.26666666666666666,0.6666666666666666,0.16666666666666666,2,131,1,10
0.28647985456347025,0.13333333333333333,0.3333333333333333,0.08333333333333333,1,130,2,11
