Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.28327886186626583,0.1111111111111111,0.16666666666666666,0.08333333333333333,1,130,5,11
0.2876039801232174,0.14285714285714285,0.5,0.08333333333333333,1,134,1,11
0.2876039801232174,0.14285714285714285,0.5,0.08333333333333333,1,134,1,11
0.40368671387966554,0.23529411764705882,0.4,0.16666666666666666,2,132,3,10
0.27888667551135854,0.0909090909090909,0.1,0.08333333333333333,1,126,9,11
0.0,0.0,0.0,0.0,0,134,1,12
0.28652882129394724,0.13333333333333333,0.3333333333333333,0.08333333333333333,1,133,2,11
0.402154690463419,0.2222222222222222,0.3333333333333333,0.16666666666666666,2,131,4,10
0.28652882129394724,0.13333333333333333,0.3333333333333333,0.08333333333333333,1,133,2,11
0.0,0.0,0,0.0,0,135,0,12
