Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.5175491695067657,0.21686746987951808,0.16363636363636364,0.32142857142857145,9,230,46,19
0.30586909065990636,0.09090909090909091,0.07894736842105263,0.10714285714285714,3,241,35,25
0.49922299875353504,0.18181818181818182,0.1267605633802817,0.32142857142857145,9,214,62,19
0.5097395104659052,0.26229508196721313,0.24242424242424243,0.2857142857142857,8,251,25,20
0.4921747909480132,0.20512820512820512,0.16,0.2857142857142857,8,234,42,20
0.5791405068790082,0.24,0.16666666666666666,0.42857142857142855,12,216,60,16
0.4710841643008948,0.2121212121212121,0.18421052631578946,0.25,7,245,31,21
0.48475730838547065,0.18823529411764706,0.14035087719298245,0.2857142857142857,8,227,49,20
0.5891092338785684,0.20809248554913296,0.12413793103448276,0.6428571428571429,18,149,127,10
0.3625878918221984,0.14814814814814817,0.15384615384615385,0.14285714285714285,4,254,22,24
