Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.2875795893348834,0.14285714285714285,0.5,0.08333333333333333,1,131,1,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.0,0.0,0,0.0,0,132,0,12
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
0.28867513459481287,0.15384615384615385,1.0,0.08333333333333333,1,132,0,11
