Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.9311917867357052,0.8585858585858585,0.85,0.8673469387755102,85,56849,15,13
0.8511023024301685,0.797752808988764,0.8875,0.7244897959183674,71,56855,9,27
0.8329638295873919,0.7999999999999999,0.9444444444444444,0.6938775510204082,68,56860,4,30
0.9201875635196993,0.8556701030927835,0.8645833333333334,0.8469387755102041,83,56851,13,15
0.9146435549249654,0.8586387434554974,0.8817204301075269,0.8367346938775511,82,56853,11,16
0.9146435549249654,0.8586387434554974,0.8817204301075269,0.8367346938775511,82,56853,11,16
0.9201956564601671,0.8601036269430051,0.8736842105263158,0.8469387755102041,83,56852,12,15
0.8863195213887,0.8279569892473119,0.875,0.7857142857142857,77,56853,11,21
0.9146274669155551,0.8497409326424872,0.8631578947368421,0.8367346938775511,82,56851,13,16
0.9311917867357052,0.8585858585858585,0.85,0.8673469387755102,85,56849,15,13
