Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.9311590259776479,0.8415841584158416,0.8173076923076923,0.8673469387755102,85,56845,19,13
0.9256979819348968,0.8527918781725888,0.8484848484848485,0.8571428571428571,84,56849,15,14
0.9256735564341445,0.84,0.8235294117647058,0.8571428571428571,84,56846,18,14
0.9256572724089094,0.8316831683168318,0.8076923076923077,0.8571428571428571,84,56844,20,14
0.9311672162752188,0.8457711442786069,0.8252427184466019,0.8673469387755102,85,56846,18,13
0.9311262640669355,0.8252427184466019,0.7870370370370371,0.8673469387755102,85,56841,23,13
0.9311262640669355,0.8252427184466019,0.7870370370370371,0.8673469387755102,85,56841,23,13
0.9311508356080359,0.8374384236453202,0.8095238095238095,0.8673469387755102,85,56844,20,13
0.9256491302888661,0.8275862068965518,0.8,0.8571428571428571,84,56843,21,14
0.9201794705080545,0.8512820512820514,0.8556701030927835,0.8469387755102041,83,56850,14,15
