Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.9146355109556329,0.8541666666666667,0.8723404255319149,0.8367346938775511,82,56852,12,16
0.9201713774252306,0.8469387755102041,0.8469387755102041,0.8469387755102041,83,56849,15,15
0.9146757300948816,0.877005347593583,0.9213483146067416,0.8367346938775511,82,56857,7,16
0.9201875635196993,0.8556701030927835,0.8645833333333334,0.8469387755102041,83,56851,13,15
0.9201875635196993,0.8556701030927835,0.8645833333333334,0.8469387755102041,83,56851,13,15
0.9201794705080545,0.8512820512820514,0.8556701030927835,0.8469387755102041,83,56850,14,15
0.9201956564601671,0.8601036269430051,0.8736842105263158,0.8469387755102041,83,56852,12,15
0.9201956564601671,0.8601036269430051,0.8736842105263158,0.8469387755102041,83,56852,12,15
0.9146355109556329,0.8541666666666667,0.8723404255319149,0.8367346938775511,82,56852,12,16
0.8978037465743932,0.8681318681318683,0.9404761904761905,0.8061224489795918,79,56859,5,19
