Gmean,F1,Precision,Recall,TP,TN,FP,FN,P
0.9034882401005561,0.8685376661742983,0.8554801163918526,0.882,882,1851,149,118,0.04
0.9076827639654728,0.8752475247524752,0.8666666666666667,0.884,884,1864,136,116,0.04
0.8939798655450804,0.8505747126436781,0.8161764705882353,0.888,888,1800,200,112,0.04
0.9102348598026775,0.8727097396335584,0.8426443202979516,0.905,905,1831,169,95,0.04
0.9029064181851849,0.8649173955296405,0.8412098298676749,0.89,890,1832,168,110,0.04
0.9138769063719687,0.8809407153356197,0.8635926993275697,0.899,899,1858,142,101,0.04
0.9034600157173532,0.8595664467483507,0.8128342245989305,0.912,912,1790,210,88,0.04
0.9034334507864982,0.872,0.872,0.872,872,1872,128,128,0.04
0.8982346575366595,0.8561840843720039,0.8222836095764272,0.893,893,1807,193,107,0.04
0.9019861418004159,0.8584950307619498,0.8149146451033243,0.907,907,1794,206,93,0.04
0.8729679261003809,0.8417754569190601,0.8808743169398907,0.806,806,1891,109,194,0.02
0.8745821859608164,0.8448637316561846,0.8876651982378855,0.806,806,1898,102,194,0.02
0.8969222374319861,0.8600985221674877,0.8475728155339806,0.873,873,1843,157,127,0.02
0.8989827584553555,0.865107018417123,0.8612487611496531,0.869,869,1860,140,131,0.02
0.8839881220921466,0.8494678155093766,0.8612538540596094,0.838,838,1865,135,162,0.02
0.865186685057046,0.8369855692143238,0.8989667049368542,0.783,783,1912,88,217,0.02
0.8775659519375167,0.838,0.838,0.838,838,1838,162,162,0.02
0.8433451250822525,0.8025144054478784,0.8426842684268426,0.766,766,1857,143,234,0.02
0.8653499292193881,0.8354564755838643,0.8902714932126696,0.787,787,1903,97,213,0.02
0.8770835193982384,0.838872104733132,0.8448275862068966,0.833,833,1847,153,167,0.02
0.8329129606387453,0.7806841046277667,0.7854251012145749,0.776,776,1788,212,224,0.01
0.8203514490753337,0.7674180327868853,0.7867647058823529,0.749,749,1797,203,251,0.01
0.8293370846646133,0.793859649122807,0.8786407766990292,0.724,724,1900,100,276,0.01
0.8121680860511573,0.7465393794749404,0.7141552511415525,0.782,782,1687,313,218,0.01
0.8130940904962967,0.776470588235294,0.8828025477707007,0.693,693,1908,92,307,0.01
0.7883095838564947,0.7491329479768787,0.8876712328767123,0.648,648,1918,82,352,0.01
0.8507238094705003,0.8056823947234907,0.8177136972193615,0.794,794,1823,177,206,0.01
0.8313699537510362,0.7889713679745493,0.8397291196388262,0.744,744,1858,142,256,0.01
0.8464041587799531,0.7975951903807615,0.7991967871485943,0.796,796,1800,200,204,0.01
0.8420463170158754,0.7908366533864541,0.7876984126984127,0.794,794,1786,214,206,0.01
0.7884922320479765,0.7432432432432432,0.8505154639175257,0.66,660,1884,116,340,0.005
0.7208848729166121,0.673404927353127,0.9142367066895368,0.533,533,1950,50,467,0.005
0.7199260378677799,0.664626682986536,0.8564668769716088,0.543,543,1909,91,457,0.005
0.62956373783756,0.5612813370473537,0.9243119266055045,0.403,403,1967,33,597,0.005
0.7576437157397928,0.7157513578756789,0.9025875190258752,0.593,593,1936,64,407,0.005
0.7799089690470292,0.7339031339031339,0.8529801324503311,0.644,644,1889,111,356,0.005
0.7186863015252204,0.6637984019668102,0.861244019138756,0.54,540,1913,87,460,0.005
0.7756442483510079,0.733644859813084,0.8820224719101124,0.628,628,1916,84,372,0.005
0.7276750648469412,0.676488643339472,0.875993640699523,0.551,551,1922,78,449,0.005
0.7224333879327561,0.672059738643435,0.8896210873146623,0.54,540,1933,67,460,0.005
