Gmean,F1,Precision,Recall,TP,TN,FP,FN,P
0.9947674419615055,0.9808612440191388,0.9688090737240076,0.9932170542635659,1025,8935,33,7,0.01
0.9890004162438447,0.9829849295089936,0.9863414634146341,0.9796511627906976,1011,8954,14,21,0.01
0.9912869241145656,0.9878345498783455,0.9921798631476051,0.9835271317829457,1015,8960,8,17,0.01
0.9933927417014838,0.9874152952565344,0.9864603481624759,0.9883720930232558,1020,8954,14,12,0.01
0.9926399950130982,0.9883495145631068,0.9902723735408561,0.9864341085271318,1018,8958,10,14,0.01
0.9933244326434694,0.9831487722676938,0.9770334928229665,0.9893410852713178,1021,8944,24,11,0.01
0.9832232465808857,0.9779735682819384,0.9881305637982196,0.9680232558139535,999,8956,12,33,0.01
0.9890004162438447,0.9829849295089936,0.9863414634146341,0.9796511627906976,1011,8954,14,21,0.01
0.9868215035180095,0.9790957705396208,0.9824390243902439,0.9757751937984496,1007,8950,18,25,0.01
0.9909549644275945,0.984958757884522,0.9863945578231292,0.9835271317829457,1015,8954,14,17,0.01
0.9712762155424224,0.9691542288557214,0.9959100204498977,0.9437984496124031,974,8964,4,58,0.002
0.977354720749407,0.9724137931034482,0.9889779559118237,0.9563953488372093,987,8957,11,45,0.002
0.9692922974686629,0.9632936507936507,0.9867886178861789,0.9408914728682171,971,8955,13,61,0.002
0.9637863323117702,0.9576059850374065,0.986639260020555,0.9302325581395349,960,8955,13,72,0.002
0.964503512738098,0.9600399600399601,0.9907216494845361,0.9312015503875969,961,8959,9,71,0.002
0.9609843325968581,0.956390977443609,0.9906542056074766,0.9244186046511628,954,8959,9,78,0.002
0.9658460565368431,0.9601593625498008,0.9877049180327869,0.9341085271317829,964,8956,12,68,0.002
0.9691840510785249,0.9623389494549058,0.9847870182555781,0.9408914728682171,971,8953,15,61,0.002
0.9579041378569167,0.9527638190954774,0.9895615866388309,0.9186046511627907,948,8958,10,84,0.002
0.9499451863683134,0.945712836123795,0.9925452609158679,0.9031007751937985,932,8961,7,100,0.002
0.9380981899628503,0.9327860441251924,0.9912758996728462,0.8808139534883721,909,8960,8,123,0.001
0.9565726434114162,0.9488465396188567,0.9833679833679834,0.9166666666666666,946,8952,16,86,0.001
0.9490645180737513,0.9418310571573091,0.9851851851851852,0.9021317829457365,931,8954,14,101,0.001
0.9340652532320565,0.9293450232078391,0.9933847850055126,0.873062015503876,901,8962,6,131,0.001
0.9349448528056025,0.9290123456790124,0.9901315789473685,0.875,903,8959,9,129,0.001
0.9242750895421772,0.9155002592016589,0.9843924191750278,0.8556201550387597,883,8954,14,149,0.001
0.9254762411590134,0.9180497925311203,0.9877232142857143,0.8575581395348837,885,8957,11,147,0.001
0.9027129742753984,0.8933687002652521,0.9871043376318874,0.8158914728682171,842,8957,11,190,0.001
0.9027129742753984,0.8933687002652521,0.9871043376318874,0.8158914728682171,842,8957,11,190,0.001
0.9306902330702199,0.9236326109391125,0.9878587196467992,0.8672480620155039,895,8957,11,137,0.001
0.8680666549551206,0.8577728776185226,0.9948849104859335,0.7538759689922481,778,8964,4,254,0.0005
0.8631273706039839,0.853022739877981,0.9974059662775616,0.7451550387596899,769,8966,2,263,0.0005
0.8774994235115934,0.868377935554342,0.9949937421777222,0.7703488372093024,795,8964,4,237,0.0005
0.7477355997488571,0.7172156619018024,1.0,0.5591085271317829,577,8968,0,455,0.0005
0.8458878937279288,0.8312710911136109,0.9906166219839142,0.7160852713178295,739,8961,7,293,0.0005
0.8532479955115981,0.8392857142857142,0.9894736842105263,0.7286821705426356,752,8960,8,280,0.0005
0.9108707734389677,0.9035318924617819,0.9907514450867052,0.8304263565891473,857,8960,8,175,0.0005
0.9140027821944032,0.9065126050420168,0.9896788990825688,0.8362403100775194,863,8959,9,169,0.0005
0.8311061265520648,0.8162564396107612,0.9972027972027973,0.6908914728682171,713,8966,2,319,0.0005
0.7312758944125922,0.6960907944514501,0.9963898916967509,0.5348837209302325,552,8966,2,480,0.0005
