Gmean,F1,Precision,Recall,TP,TN,FP,FN,P
0.970990330653309,0.970873786407767,0.9751176866173503,0.9666666666666667,2900,2926,74,100,0.04
0.9693332760201725,0.9693231077025675,0.9696464309539693,0.969,2907,2909,91,93,0.04
0.9734657444181359,0.9732818013779196,0.981362250084717,0.9653333333333334,2896,2945,55,104,0.04
0.9731546639666276,0.9730363423212193,0.977785257489061,0.9683333333333334,2905,2934,66,95,0.04
0.9716646083454471,0.9716098864395458,0.9735609103078983,0.9696666666666667,2909,2921,79,91,0.04
0.9728281794164202,0.9727470322688514,0.9758470311975848,0.9696666666666667,2909,2928,72,91,0.04
0.9708309155906948,0.9708963911525029,0.9688018586126784,0.973,2919,2906,94,81,0.04
0.9721546516201354,0.9720314855133144,0.9767754964658364,0.9673333333333334,2902,2931,69,98,0.04
0.9713104550039601,0.9711409395973154,0.9777027027027027,0.9646666666666667,2894,2934,66,106,0.04
0.971308109944751,0.9711312520980194,0.978025693035835,0.9643333333333334,2893,2935,65,107,0.04
0.9671425265526621,0.9669407618727974,0.9736397431564717,0.9603333333333334,2881,2922,78,119,0.02
0.9671022007350965,0.966795887409405,0.9778383907262189,0.956,2868,2935,65,132,0.02
0.96505774150796,0.9646541518687636,0.9790593889461037,0.9506666666666667,2852,2939,61,148,0.02
0.9664533097879069,0.9661786976274608,0.9755351681957186,0.957,2871,2928,72,129,0.02
0.9669852923160495,0.9668230563002681,0.9720350404312669,0.9616666666666667,2885,2917,83,115,0.02
0.9685881477697319,0.968275396557543,0.9805194805194806,0.9563333333333334,2869,2943,57,131,0.02
0.9646746141114687,0.9642069550466498,0.981692573402418,0.9473333333333334,2842,2947,53,158,0.02
0.9616037529969285,0.9612403100775194,0.9720518064076347,0.9506666666666667,2852,2918,82,148,0.02
0.9633054205875379,0.9630624580255205,0.9702300405953992,0.956,2868,2912,88,132,0.02
0.962824317654403,0.9626778242677825,0.9667226890756303,0.9586666666666667,2876,2901,99,124,0.02
0.9540230605179312,0.9531943969935086,0.9775753328661527,0.93,2790,2936,64,210,0.01
0.9579613770919995,0.9573201836422378,0.9770912877473099,0.9383333333333334,2815,2934,66,185,0.01
0.9623347765836078,0.9618191074155779,0.979605945385413,0.9446666666666667,2834,2941,59,166,0.01
0.9630419397813254,0.962586761469443,0.9779841761265909,0.9476666666666667,2843,2936,64,157,0.01
0.9603905455594614,0.9599188229325215,0.9742533470648815,0.946,2838,2925,75,162,0.01
0.9590189431566685,0.958467536870656,0.9751638496033115,0.9423333333333334,2827,2928,72,173,0.01
0.9533030298214029,0.9524135570010271,0.9788881069669247,0.9273333333333333,2782,2940,60,218,0.01
0.9595617055023958,0.9588947637728126,0.9818372336709745,0.937,2811,2948,52,189,0.01
0.9584292705602572,0.9577656675749319,0.979108635097493,0.9373333333333334,2812,2940,60,188,0.01
0.9607918609147352,0.960204081632653,0.9802083333333333,0.941,2823,2943,57,177,0.01
0.92166636528024,0.9187754379755796,0.979253112033195,0.8653333333333333,2596,2945,55,404,0.005
0.9372335176820484,0.935467037745695,0.9781738814114224,0.8963333333333333,2689,2940,60,311,0.005
0.9349608429114975,0.9329833770778653,0.98195211786372,0.8886666666666667,2666,2951,49,334,0.005
0.9383332741267003,0.9365853658536585,0.981021897810219,0.896,2688,2948,52,312,0.005
0.9312203462840217,0.9289366954681715,0.9861475102957694,0.878,2634,2963,37,366,0.005
0.916089515276755,0.9126941617568293,0.9826989619377162,0.852,2556,2955,45,444,0.005
0.9318653336185438,0.9297693920335429,0.9768722466960352,0.887,2661,2937,63,339,0.005
0.9317628453635614,0.9295626207623398,0.9825473449684367,0.882,2646,2953,47,354,0.005
0.9458831264426324,0.9446074201898189,0.9792486583184258,0.9123333333333333,2737,2942,58,263,0.005
0.9400770653988368,0.9384347826086955,0.9810909090909091,0.8993333333333333,2698,2948,52,302,0.005
