Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.5699570730106842,0.4184491978609626,0.5165016501650165,0.35168539325842696,313,3547,293,577
0.3929884958432862,0.2458874458874459,0.5358490566037736,0.15955056179775282,142,3717,123,748
0.45200668372805225,0.30522088353413657,0.5352112676056338,0.21348314606741572,190,3675,165,700
0.3867339443682074,0.24119718309859153,0.556910569105691,0.15393258426966291,137,3731,109,753
0.39160228871661346,0.24436741767764297,0.5340909090909091,0.15842696629213482,141,3717,123,749
0.5323544094195749,0.3872832369942196,0.5425101214574899,0.30112359550561796,268,3614,226,622
0.41008614469086335,0.26338147833474934,0.5400696864111498,0.17415730337078653,155,3708,132,735
0.520803182647898,0.3750915750915751,0.5389473684210526,0.2876404494382023,256,3621,219,634
0.4866147849891508,0.3368580060422961,0.5138248847926268,0.250561797752809,223,3629,211,667
0.49959399480397554,0.3579109062980031,0.5655339805825242,0.26179775280898876,233,3661,179,657
