Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.7295982537611955,0.5197594501718212,0.4207232267037552,0.6797752808988764,605,3007,833,285
0.7306222096283738,0.5083532219570407,0.3934729064039409,0.7179775280898877,639,2855,985,251
0.7375071414622811,0.5174488567990373,0.4023705552089832,0.7247191011235955,645,2882,958,245
0.7491048809473717,0.5306613226452905,0.4124610591900312,0.7438202247191011,662,2897,943,228
0.7379366922695691,0.5171588188347964,0.400990099009901,0.7280898876404495,648,2872,968,242
0.7415681614086336,0.5186055620838228,0.39807576668671074,0.7438202247191011,662,2839,1001,228
0.7359045301722839,0.5121378230227094,0.39302884615384615,0.7348314606741573,654,2830,1010,236
0.737422629725628,0.5163346613545816,0.4,0.7280898876404495,648,2868,972,242
0.7319871880338432,0.5166112956810631,0.40974967061923584,0.698876404494382,622,2944,896,268
0.7297259759663213,0.5069416898056327,0.3917841814837523,0.7179775280898877,639,2848,992,251
