Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.7348082981422615,0.516470109800732,0.4047163798597833,0.7134831460674157,635,2906,934,255
0.7402248035775758,0.5256622516556291,0.4161205766710354,0.7134831460674157,635,2949,891,255
0.7433085548262597,0.5252525252525253,0.41009463722397477,0.7303370786516854,650,2905,935,240
0.7339289375636161,0.5244215938303343,0.42382271468144045,0.6876404494382022,612,3008,832,278
0.7429246474812947,0.5246166263115415,0.4093198992443325,0.7303370786516854,650,2902,938,240
0.7482548360187645,0.5306451612903227,0.4138364779874214,0.7393258426966293,658,2908,932,232
0.7529926249694794,0.5300271212708253,0.4044943820224719,0.7685393258426966,684,2833,1007,206
0.739343772194739,0.5222358221134231,0.4099935938500961,0.7191011235955056,640,2919,921,250
0.7370092555662121,0.5268085106382978,0.42397260273972603,0.6955056179775281,619,2999,841,271
0.7258464402167176,0.5207780725022104,0.4293002915451895,0.6617977528089888,589,3057,783,301
